,A-028,A-027,A-029,A-026,A-030,A-025,A-031,A-024,A-032,A-023,A-034,A-022,A-033,A-021,A-036,A-020,A-035,A-019,A-038,A-018,A-037,D-052,A-040,D-050,A-039,D-048,A-042,A-016,A-041,A-017,A-044,A-014,A-043,A-015,A-063,A-013,A-061,A-012,A-062,A-011,A-059,A-010,A-060,A-009,A-057,A-008,A-058,A-007,A-055,A-000,A-056,A-002,A-053,A-004,A-054,A-006,A-051,A-005,A-052,A-003,A-049,A-001,A-050,D-047,B-056,B-055,B-020,B-019,B-021,B-018,B-022,B-017,B-023,B-016,B-024,B-015,B-053,B-058,B-054,B-057,B-025,B-014,B-026,B-013,B-027,B-012,B-028,B-011,B-029,B-010,B-051,B-060,B-052,B-059,B-030,B-009,B-031,B-008,B-032,B-007,B-034,B-006,B-033,B-005,B-049,B-062,B-050,B-061,B-036,B-002,B-038,B-004,B-040,B-003,B-042,B-001,B-044,B-000,B-046,B-063,B-048,A-047,B-035,A-045,B-037,A-048,B-039,A-046,D-020,D-021,D-019,D-022,D-018,D-023,D-017,D-024,D-016,D-025,D-015,D-026,C-047,D-027,C-048,D-028,C-045,D-029,C-046,D-030,C-043,D-031,C-044,D-032,C-041,D-034,C-042,D-033,C-039,D-036,C-040,D-035,C-037,D-038,C-038,D-037,C-035,D-040,C-036,D-039,C-033,D-042,C-034,D-041,C-032,D-044,C-031,D-043,C-030,D-045,C-029,D-057,C-028,D-056,C-026,D-054,C-024,B-047,C-022,B-045,C-020,B-043,C-018,B-041,C-056,D-007,C-055,D-008,C-008,D-053,C-007,C-009,D-055,C-010,D-006,C-053,D-005,C-054,C-058,D-009,C-057,D-010,C-006,D-051,C-005,C-011,D-058,C-012,D-004,C-051,D-003,C-052,C-060,D-011,C-059,D-012,C-004,D-049,C-003,C-013,D-059,C-014,D-060,C-049,D-001,C-050,C-062,D-013,C-061,D-014,C-002,D-046,C-001,C-015,D-002,C-017,D-061,C-019,D-062,C-021,D-063,C-023,D-000,C-025,C-063,C-027,C-000,C-016
37,-59,-56,-20,-43,-54,-4,2,-14,-74,-14,-21,-20,-34,-27,-20,-22,-15,-15,-21,-6,-25,-17,-41,-28,-65,-28,-56,-18,-39,-8,-32,-25,-32,-7,-14,-12,-54,-13,-20,-13,-18,-12,-18,-14,-17,-10,-20,-10,-17,-18,-46,-16,-57,-29,-15,-19,-12,-26,-10,-27,-14,-25,-20,-34,-1,0,-6,-23,-4,-10,-2,-4,-2,-10,-15,-8,-13,-2,0,-14,-3,-7,0,-9,-1,-24,-7,-28,-1,-35,-2,0,-14,0,-16,-30,-46,-35,-15,-24,-29,-52,-59,-40,-23,-20,-8,-61,-43,-45,-63,-48,-17,-29,-29,-27,-9,-15,-19,-41,-66,-42,-74,-34,-39,-8,-11,-27,-9,-4,-57,-7,-7,-9,-7,-8,-11,-5,-7,-3,-17,-5,-21,-24,-25,-7,-55,-9,-19,-53,-14,-30,-10,-28,-30,-25,-15,-39,-21,-46,-22,-26,-18,-16,-18,-18,-16,-15,-17,-19,-12,-18,-21,-69,1,-14,-6,-17,-10,-5,-2,-47,-54,-53,-8,-64,-17,-54,-9,-16,-5,-17,-12,-15,-8,-73,-16,-7,-11,-13,0,-13,-14,-6,-15,-2,-5,-24,-8,-77,-24,-6,-17,-12,-20,-10,-18,-5,-16,-66,-2,-12,2,-13,-19,-11,-18,-11,1,-11,-5,-14,-21,-21,-14,-15,2,-22,-18,-24,-55,-7,-20,-25,-6,-48,-20,-12,4,-25,-23,0,4,-9,-18,-19
42,-59,-59,-19,-15,-34,-44,3,-35,-79,-16,-24,-25,-28,-31,-18,-23,-14,-26,-25,-2,-23,-9,-47,-32,-66,-45,-61,-10,-45,-6,-31,-18,-35,-9,-14,-15,-54,-15,-20,-13,-18,-13,-17,-14,-19,-14,-20,-14,-15,-21,-43,-19,-58,-29,-15,-19,-13,-21,-11,-24,-13,-23,-30,-31,-8,-2,-7,-19,-2,-11,0,-8,-4,-10,-17,-11,-49,-4,-1,-18,-4,-8,-12,-11,-6,-19,-2,-24,1,-5,-2,3,-18,-11,-10,-24,-44,-19,-31,-25,-67,-49,-12,-47,-5,-21,-8,-52,-20,-28,-57,-24,-32,-42,-28,-65,-12,-21,-28,-34,-14,-7,-13,-36,-20,-27,-30,-26,-4,-4,-52,-8,-8,-12,-7,-7,-9,-3,-7,-2,-22,-7,-23,-26,-52,-6,-55,-10,-20,-51,-15,-33,-10,-29,-31,-26,-68,-40,-21,-46,-26,-26,-18,-20,-20,-23,-17,-19,-15,-17,-13,-17,-21,-69,4,-16,-5,-20,-26,-19,1,-58,-55,-56,-21,-71,-3,-51,-17,-12,-5,-16,-15,-16,-8,-71,-18,-9,-11,-13,-2,-14,-15,-7,-18,-6,-3,-25,-8,-79,-24,-7,-18,-13,-33,-9,-20,-6,-17,-70,-1,-10,2,-13,-19,-10,-18,-13,1,-11,-4,-12,-21,-22,-9,-15,4,-37,-31,-21,-59,-12,-33,-16,-31,-49,-23,-21,-2,-17,-29,-10,4,-9,-19,-18
44,-57,-52,-18,-53,-54,-12,1,-27,-73,-18,-25,-23,-27,-26,-17,-27,-14,-26,-24,-3,-26,-17,-46,-12,-66,-50,-61,-15,-38,-8,-31,-23,-37,-11,-16,-15,-54,-17,-20,-13,-19,-13,-17,-14,-19,-14,-20,-12,-17,-18,-13,-18,-60,-29,-15,-19,-12,-20,-9,-23,-12,-23,-35,-30,-3,-3,-9,-24,-2,-11,-1,-7,-5,-12,-14,-13,-50,-5,-3,-20,-4,-8,-11,-11,-1,-17,-1,-34,-1,-6,-18,1,-53,-1,-53,-23,-3,-29,-29,-70,-68,-42,-15,-23,-19,-21,-13,-60,-68,-34,-63,-74,-30,-33,-20,-20,-12,-37,-20,3,-11,-13,-46,-37,-36,-11,-13,-29,-6,-5,-47,-9,-8,-14,-7,-6,-10,-3,-7,-1,-19,-5,-22,-25,-50,-6,-52,-11,-20,-54,-14,-32,-10,-28,-30,-26,-16,-40,-20,-46,-24,-25,-16,-19,-19,-22,-16,-16,-14,-17,-11,-15,-21,-70,5,-16,-5,-9,-15,-10,-18,-45,-53,-52,-22,-64,-17,-47,-16,-8,-5,-14,-8,-15,-8,-72,-19,-9,-11,-13,-5,-14,-15,-9,-18,-8,-4,-23,-9,-73,-22,-7,-17,-12,-31,-9,-20,-6,-17,-66,-2,-10,0,-13,-20,-9,-19,-15,-3,-12,-4,-10,-20,-22,-16,-21,-12,-24,-46,-20,-58,-19,-19,-15,-24,-42,-48,-53,-9,-19,-19,-10,4,-9,-19,-19
49,-56,-48,-18,-3,-42,-3,-6,-27,-73,-28,-41,-21,-25,-22,-16,-23,-15,-28,-23,-10,-46,-56,-48,-33,-44,-69,-61,-10,-37,-7,-33,-26,-36,-14,-16,-17,-55,-18,-20,-15,-19,-13,-19,-15,-21,-17,-21,-15,-17,-21,-14,-18,-59,-29,-14,-19,-14,-20,-8,-22,-20,-22,-6,-39,-7,-6,-7,-26,-3,-11,-1,-7,-6,-13,-15,-12,-5,-4,-2,-16,-1,-12,-6,-6,-1,-8,-1,-28,1,-5,-12,-46,-3,-2,-53,-21,-38,-36,-40,-24,-10,-40,-57,-26,-25,-22,-25,-54,-26,-34,-56,-22,-20,-39,-10,-26,-13,-13,-22,-20,-65,-10,-14,-62,-17,-19,-21,-35,-9,-2,-49,-5,-8,-10,-6,-6,-10,-3,-7,-3,-16,-7,-24,-26,-50,-7,-53,-18,-21,-54,-18,-33,-13,-28,-31,-26,-64,-39,-15,-41,-12,-21,-19,-20,-20,-22,-23,-18,-14,-13,-14,-16,-16,-38,6,-9,-5,-24,2,-21,0,-46,-11,-53,-31,-63,-9,-51,-10,-9,-5,-14,-10,-16,-8,-71,-20,-10,-15,-15,-8,-15,-16,-12,-19,-7,-5,-23,-8,-73,-33,-8,-18,-12,-30,-10,-17,-10,-17,-64,-2,-10,-3,-13,-18,-10,-19,-14,-1,-10,-6,-10,-20,-20,-8,-10,-10,-20,-36,-27,-50,-27,-27,-15,-11,-44,-9,-8,-7,-1,-20,-17,-23,-15,-26,-23
52,-44,-46,-18,-43,-40,-22,-2,-28,-69,-28,-51,-22,-24,-20,-15,-25,-15,-44,-30,-10,-23,-32,-46,-25,-64,-46,-62,-9,-37,-6,-31,-29,-35,-14,-15,-18,-55,-19,-20,-17,-19,-13,-19,-14,-21,-17,-21,-27,-18,-20,-14,-17,-44,-29,-14,-20,-13,-20,-8,-22,-24,-22,-10,-32,-8,-6,-8,-25,-6,-14,-6,-10,-7,-12,-17,-13,-3,-3,-3,-19,-2,-9,-5,-5,-1,-9,-10,-24,-40,-18,-4,-35,-28,-22,-38,-54,-4,-26,-14,-25,-35,-11,-33,-19,-5,-16,-10,-35,-48,-15,-68,-54,-36,-64,-16,-12,-14,-12,-11,-47,-56,-13,-14,-53,-35,-12,-25,-27,-6,-2,-43,-4,-9,-9,-4,-4,-9,-3,-7,-2,-14,-4,-23,-19,-46,-6,-45,-15,-19,-35,-19,-33,-14,-28,-32,-25,-15,-41,-15,-43,-13,-22,-18,-15,-19,-22,-23,-17,-12,-13,-15,-20,-16,-54,2,-9,-7,-31,-2,-16,-15,-52,-33,-48,-25,-54,-11,-43,-10,-10,-6,-14,-25,-16,-6,-59,-19,-8,-13,-12,-7,-15,-16,-9,-17,-7,-4,-20,-6,-60,-50,-7,-17,-12,-32,-11,-22,-5,-16,-62,-1,-9,-2,-12,-17,-11,-19,-11,-4,-9,-4,-9,-20,-12,-20,-17,0,-13,-25,-18,-52,-9,-29,-14,1,-41,-2,-10,-8,-7,-25,-31,0,-8,-21,-19
56,-46,-46,-18,-21,-47,-1,-6,-28,-66,-33,-53,-23,-24,-21,-35,-27,-14,-37,-27,-14,-44,-13,-46,-28,-56,-44,-60,-8,-38,-6,-30,-30,-34,-13,-15,-15,-53,-18,-20,-17,-19,-14,-19,-14,-22,-14,-22,-16,-17,-20,-14,-18,-51,-29,-16,-21,-14,-20,-7,-22,-36,-22,-8,-34,-2,-4,-4,-23,-4,-13,-3,-10,-7,-14,-12,-12,-3,1,-4,-21,0,-12,-2,-5,1,-18,-29,-19,4,-21,-17,2,-3,-7,2,-11,-5,-15,-15,-45,-20,-23,-35,-62,-14,-17,-13,-43,-20,-16,-52,-47,-12,-27,-14,-13,-11,-63,-18,-3,-8,-6,-15,-32,-19,-10,-15,-17,-8,-6,-42,-4,-11,-6,-5,-3,-9,-1,-8,-3,-10,-4,-22,-19,-45,-7,-46,-17,-23,-16,-16,-29,-12,-26,-31,-22,-15,-41,-17,-41,-17,-28,-19,-15,-17,-20,-20,-14,-12,-12,-18,-12,-16,-41,-34,-14,-15,-54,-15,-15,1,-50,-8,-46,-6,-15,-4,-44,-9,-14,-6,-12,-35,-12,-7,-55,-17,-9,-12,-12,-6,-13,-16,-8,-14,-7,-6,-19,-6,-56,-47,-9,-17,-12,-32,-10,-19,-5,-15,-57,-1,-10,1,-12,-17,-10,-19,-10,-4,-9,-3,-13,-22,-13,-1,-13,-17,-13,-18,-33,-48,-13,-34,-9,-1,-59,-3,-9,-5,-5,-41,-14,4,-9,-17,-18
59,-46,-44,-23,-49,-45,-25,-10,-34,-63,-42,-50,-29,-25,-17,-47,-31,-12,-35,-38,-11,-15,-8,-51,-18,-54,-41,-59,-12,-39,-21,-31,-29,-31,-14,-15,-16,-53,-19,-20,-19,-19,-14,-19,-14,-21,-14,-21,-16,-17,-19,-14,-18,-18,-29,-17,-20,-17,-20,-10,-23,-28,-21,-7,-34,2,-5,-5,-12,-1,-7,-6,-9,-3,-13,-11,-5,-4,0,-1,-14,1,-11,-2,-4,0,-10,-3,-14,5,-27,-14,2,-14,-9,-42,-11,-9,-24,-13,-20,-21,-33,-13,-52,-11,-17,-11,-33,-16,-62,-49,-35,-11,-23,-14,-13,-12,-15,-12,-43,-10,-12,-21,-10,-19,-9,-12,-32,-2,-2,-43,-4,-7,-5,-6,-2,-10,-2,-7,-1,-8,-2,-22,-18,-44,-7,-41,-17,-23,-15,-14,-27,-12,-25,-31,-21,-15,-40,-17,-44,-25,-28,-20,-18,-17,-20,-18,-12,-12,-7,-20,-23,-18,-55,-31,-21,-12,-47,-14,-18,-6,-35,-29,-46,-11,-11,-8,-42,-7,-18,-6,-20,0,-10,-6,-54,-13,-6,-9,-10,-2,-11,-11,-4,-11,-2,3,-18,-6,-57,-35,-7,-15,-11,-20,-8,-15,-1,-12,-55,0,-6,4,-10,-17,-10,-17,-8,-2,-9,-3,-24,-27,-9,-23,-9,-13,-15,-19,-45,-48,-27,-33,-5,-23,-45,-5,-7,0,-3,-13,-1,5,-8,-17,-17
63,-47,-46,-21,-27,-45,-14,-12,-44,-69,-31,-50,-16,-24,-20,-47,-30,-15,-55,-49,-9,-14,-52,-49,-28,-50,-46,-59,-14,-39,-30,-31,-31,-30,-15,-14,-16,-52,-19,-19,-22,-19,-18,-18,-15,-20,-17,-19,-14,-17,-25,-13,-17,-15,-27,-16,-23,-14,-21,-11,-22,-27,-23,-18,-39,1,1,-1,-17,-1,-9,-4,-6,-1,-11,-12,-5,-8,-1,1,-12,0,-10,-1,-4,1,-11,-40,-15,0,-29,-50,-20,-24,-7,-1,-21,-23,-13,-17,-23,-14,-13,-41,-13,-25,-19,-16,-42,-19,-12,-62,-21,-12,-26,-16,-14,-11,-13,-15,-43,-12,-42,-15,-12,-20,-12,-11,-32,-2,-2,-44,-4,-8,-9,-5,-2,-10,-2,-7,-2,-9,-2,-22,-25,-44,-6,-41,-16,-23,-17,-14,-28,-10,-25,-31,-22,-16,-41,-18,-43,-15,-25,-20,-16,-18,-19,-20,-14,-14,-7,-25,-40,-20,-47,-30,-19,-26,-47,-4,-18,-6,-50,-4,-44,-27,-52,-9,-43,-8,-18,-7,-23,2,-7,-4,-56,-12,-8,-9,-11,1,-15,-13,-9,-10,-3,-1,-19,-6,-57,-58,-7,-15,-14,-36,-9,-19,-4,-13,-54,0,-7,3,-12,-18,-8,-17,-12,0,-9,-5,-15,-12,-8,0,-16,2,-34,-24,-42,-67,-14,-41,-4,-8,-36,-2,-5,4,-1,-14,1,6,-7,-15,-17
66,-46,-43,-24,-28,-38,-11,-12,-41,-64,-38,-46,-20,-24,-21,-51,-25,-44,-50,-50,-4,-18,-47,-51,-49,-35,-46,-59,-21,-39,-18,-31,-31,-30,-14,-15,-16,-51,-25,-18,-26,-18,-21,-17,-20,-19,-16,-18,-17,-15,-21,-8,-17,-16,-24,-17,-21,-14,-22,-15,-21,-29,-21,-18,-35,2,1,-6,-10,0,-8,-6,-6,0,-8,-7,-8,-9,3,0,-13,-3,-8,-1,-5,0,-17,-36,-16,-39,-28,-46,-24,-23,-5,1,-44,-31,-44,-28,-58,-14,-12,-33,-21,-5,-19,-9,-42,-41,-12,-66,-14,-19,-34,-25,-15,-29,-15,-11,0,-17,-10,-23,-6,-24,-26,-18,-8,-2,-3,-44,-6,-8,-8,-4,-2,-10,0,-9,-3,-10,-6,-23,-19,-42,-6,-40,-11,-19,-19,-15,-27,-12,-25,-30,-21,-17,-40,-15,-40,-19,-25,-19,-15,-17,-16,-17,-15,-18,-6,-22,-50,-19,-58,-28,-17,-25,-46,-41,-22,1,-36,-40,-47,-6,-50,-17,-44,-6,-37,-5,-19,2,-10,-3,-54,-12,-7,-10,-11,-1,-15,-12,-7,-11,-2,0,-20,-5,-55,-58,-7,-16,-15,-42,-12,-13,-7,-13,-54,0,-5,2,-14,-19,-12,-18,-15,0,-10,-4,-2,-16,-14,4,-13,1,-25,-23,-42,-63,-13,-43,-7,2,-62,1,-39,2,-3,-13,-1,4,-6,-16,-17
70,-45,-46,-17,-46,-44,-35,-2,-40,-70,-42,-58,-27,-24,-16,-50,-23,-48,-28,-55,-6,-34,-49,-47,-17,-30,-56,-57,-10,-39,-21,-30,-31,-27,-14,-13,-12,-48,-23,-16,-25,-13,-21,-9,-22,-16,-19,-17,-15,-16,-21,-13,-18,-18,-30,-17,-22,-14,-23,-26,-20,-24,-21,-22,-48,2,1,-3,-20,2,-8,-3,-7,1,-12,-8,-6,-11,1,0,-10,-24,-8,-4,-7,-9,-15,0,-16,3,-48,-11,-19,-21,-20,-1,-10,-39,-46,-21,-52,-55,-10,-40,-17,-10,-20,-12,-35,-19,-10,-54,-18,-15,-34,-19,-14,-14,-15,-27,2,-15,-8,-21,-7,-26,-39,-17,-26,-4,0,-42,-12,-5,-9,-8,-1,-13,-1,-9,-2,-13,-4,-23,-19,-41,-6,-43,-10,-18,-18,-15,-28,-11,-25,-31,-21,-48,-41,-16,-40,-12,-21,-17,-15,-16,-19,-16,-16,-13,-12,-18,-55,-18,-59,-31,-17,-24,-45,-3,-29,0,-48,-4,-39,-4,-51,-11,-46,-7,-15,-4,-11,-1,-8,-3,-56,-12,-7,-9,-11,1,-12,-11,-6,-10,-1,4,-21,-5,-51,-64,-9,-15,-17,-35,-12,-14,-7,-13,-62,1,-7,-3,-15,-20,-12,-19,-9,-3,-10,-7,-3,-12,-18,4,-14,-14,-23,-25,-39,-66,-11,-23,-4,1,-60,-5,-43,4,-1,-14,0,7,-4,-16,-17
76,-48,-47,-23,-43,-40,-21,-2,-43,-65,-46,-58,-16,-26,-17,-44,-21,-16,-36,-57,-17,-25,-13,-52,-23,-19,-51,-45,-10,-35,-21,-25,-31,-22,-14,-12,-12,-48,-24,-14,-25,-13,-21,-9,-22,-15,-20,-15,-17,-15,-20,-13,-18,-10,-28,-15,-22,-9,-23,-17,-20,-25,-30,-23,-47,-2,-1,-3,-21,1,-9,-2,-7,1,-9,-2,-3,-10,-3,0,-26,-1,-15,-3,-24,-3,-13,-39,-18,-18,-46,-44,-16,-44,-13,-4,-9,-50,-22,-22,-41,-10,-15,-17,-57,-6,-20,-27,-50,-24,-17,-69,-13,-20,-47,-17,-14,-19,-17,-24,-8,-15,-9,-22,-24,-20,-11,-32,-8,-5,0,-41,-18,-6,-9,-6,-2,-22,-2,-9,-3,-11,-5,-23,-21,-40,-6,-42,-9,-18,-19,-14,-27,-11,-24,-31,-21,-50,-41,-12,-36,-11,-17,-16,-14,-14,-16,-20,-14,-9,-14,-30,-56,-18,-60,-29,-16,-20,-53,-21,-28,-17,-42,-25,-39,-5,-48,-6,-51,-6,-23,-4,-14,-5,-10,-4,-56,-12,-8,-9,-11,0,-13,-11,-6,-11,-1,4,-21,-3,-56,-49,-9,-15,-16,-42,-13,-13,-6,-13,-64,2,-10,-1,-19,-18,-11,-19,-9,-4,-13,-6,-24,-11,-12,5,-12,3,-56,-27,-36,-76,-12,-23,-6,2,-46,0,-41,3,-10,-19,-3,5,-3,-16,-18
80,-46,-41,-15,-27,-48,-24,2,-37,-63,-37,-50,-36,-25,-15,-47,-16,-46,-22,-54,-10,-45,-15,-48,-18,-19,-58,-43,-12,-34,-23,-24,-31,-22,-13,-12,-12,-13,-23,-12,-26,-11,-21,-11,-22,-14,-20,-15,-16,-15,-21,-13,-19,-9,-27,-14,-23,-7,-23,-18,-19,-22,-37,-9,-41,-4,-3,-2,-14,1,-8,-1,-5,1,-12,-1,-7,-13,3,0,-30,1,-13,-38,-6,-10,-13,-1,-22,-34,-40,-9,-21,-47,0,-9,-11,-38,-36,-57,-39,-55,-13,-35,-32,-10,-21,-12,-47,-23,-16,-51,-16,-20,-58,-17,-10,-15,-12,-29,0,-17,-7,-21,-10,-22,-11,-26,-20,-3,0,-40,-26,-9,-16,-12,-2,-25,-2,-8,0,-12,-2,-24,-26,-40,-6,-42,-8,-19,-20,-13,-27,-10,-22,-23,-18,-48,-27,-11,-30,-11,-15,-15,-15,-14,-14,-16,-18,-10,-16,-32,-42,-14,-64,-29,-9,-21,-53,-9,-21,-23,-38,0,-46,-1,-47,-27,-48,-4,-37,-4,-15,-2,-9,-4,-56,-12,-10,-10,-13,1,-11,-10,-5,-10,-1,2,-19,-3,-53,-60,-11,-15,-18,-40,-13,-13,-6,-13,-63,1,-11,-2,-20,-19,-13,-20,-10,-2,-16,-4,-25,-13,-31,5,-15,3,-49,-32,-26,-46,-9,-23,-6,0,-37,0,-39,3,-3,-20,-3,5,1,-16,-18
84,-46,-47,-22,-16,-53,-17,-6,-33,-73,-15,-24,-36,-25,-16,-17,-40,-39,-21,-54,-19,-49,-11,-47,-12,-18,-54,-55,-12,-33,-30,-23,-27,-22,-13,-11,-11,-12,-23,-10,-26,-9,-21,-5,-22,-13,-19,-15,-15,-16,-20,-13,-19,-8,-31,-12,-22,-6,-22,-21,-19,-19,-35,-8,-37,2,-17,-3,-20,1,-9,0,-9,0,-10,-1,-9,-22,-1,1,-40,0,-28,-6,-5,-8,-13,-2,-28,2,-44,-22,-18,-36,-7,4,-22,-38,-41,-31,-45,-15,-11,-16,-26,-16,-17,-41,-44,-19,-13,-57,-15,-17,-57,-18,-44,-15,-12,-27,-8,-14,-6,-33,-22,-21,-18,-58,-7,-6,1,-42,-16,-15,-7,-7,-3,-27,-1,-11,0,-14,-3,-24,-19,-38,-6,-41,-9,-19,-21,-13,-27,-13,-21,-20,-18,-8,-26,-11,-30,-9,-13,-16,-16,-14,-16,-16,-11,-13,-6,-32,-52,-22,-68,-38,-16,-23,-54,-15,-15,-35,-36,-3,-46,-3,-49,-13,-48,-4,-23,-3,-7,-2,-15,-1,-56,-12,-11,-11,-16,1,-14,-11,-4,-11,-1,3,-49,-3,-53,-64,-14,-15,-19,-40,-11,-13,-5,-12,-61,3,-12,-11,-19,-16,-8,-18,-13,-5,-16,-9,-28,-10,-30,3,-15,3,-56,-44,-25,-58,-21,-25,-7,1,-40,1,-40,3,0,-15,0,5,3,-14,-17
87,-46,-44,-26,-48,-46,-31,-8,-31,-65,-14,-36,-39,-26,-16,-48,-36,-14,-23,-55,-20,-38,-19,-45,-25,-18,-57,-55,-16,-33,-32,-22,-28,-21,-12,-11,-11,-12,-23,-9,-23,-10,-21,-8,-25,-12,-20,-14,-16,-16,-20,-13,-19,-8,-27,-13,-22,-6,-23,-21,-19,-19,-35,-25,-46,0,-18,-2,-25,1,-8,-1,-6,-2,-7,-2,-7,-30,1,0,-40,-8,-12,-6,-6,-15,-14,1,-22,3,-48,-28,-41,-38,-4,3,-27,-33,-36,-16,-40,-12,-13,-20,-15,-13,-21,-50,-42,-21,-19,-65,-19,-19,-52,-19,-59,-16,-15,-31,-4,-15,-11,-29,-11,-46,-8,-16,-9,-44,0,-43,-15,-24,-5,-7,-3,-28,3,-9,-2,-11,-3,-23,-21,-41,-7,-39,-8,-17,-21,-11,-25,-14,-20,-18,-18,-13,-24,-11,-30,-9,-14,-16,-16,-15,-10,-14,-10,-14,-16,-33,-62,-22,-71,-27,-23,-22,-50,-5,-14,-29,-35,-3,-48,-3,-47,-4,-46,-8,-16,-3,-8,-14,-10,-3,-55,-11,-6,-8,-11,1,-10,-10,-2,-10,0,2,-47,-2,-51,-64,-13,-16,-17,-33,-9,-14,-3,-14,-62,1,-12,-5,-20,-17,-11,-18,-10,-4,-14,1,-26,-10,-32,-1,-15,-5,-43,-36,-27,-55,-45,-21,-7,0,-32,0,-37,3,-1,-15,0,5,3,-13,-18
90,-45,-47,-26,-51,-46,-20,-12,-37,-65,-14,-42,-37,-25,-15,-48,-48,-12,-24,-54,-6,-46,-10,-43,-19,-17,-58,-55,-15,-33,-32,-22,-29,-21,-12,-10,-12,-14,-24,-8,-25,-9,-21,-7,-21,-13,-20,-14,-14,-14,-19,-13,-19,-10,-25,-12,-23,-4,-22,-20,-18,-18,-50,-11,-49,-2,-19,-1,-40,2,-16,1,-7,-5,-7,-14,-5,-27,0,-2,-44,-6,-14,-40,-6,-20,-12,-2,-34,5,-51,-19,-29,-40,-9,1,-35,-31,-32,-26,-53,-25,-13,-13,-12,-5,-25,-16,-46,-54,-46,-63,-30,-18,-63,-25,-55,-15,-14,-26,3,-15,-8,-22,-13,-30,-12,-16,-8,-26,0,-40,-17,-9,-3,-5,0,-29,3,-7,-4,-13,-3,-22,-21,-40,-7,-38,-6,-18,-18,-13,-26,-13,-20,-19,-19,-15,-25,-12,-30,-8,-14,-16,-17,-13,-18,-16,-14,-31,-27,-43,-67,-28,-44,-26,-24,-27,-34,-14,-14,-2,-42,-5,-46,-4,-40,-3,-46,-17,-14,-4,-11,-7,-9,-2,-53,-12,-5,-8,-10,-1,-10,-9,0,-9,1,5,-52,0,-48,-63,-12,-16,-18,-31,-7,-13,-3,-12,-60,0,-11,-1,-20,-18,-10,-17,-11,-6,-16,1,-20,-10,-35,-2,-20,-4,-45,-40,-50,-47,-18,-34,-7,-1,-39,-1,-36,2,0,-15,0,6,2,-15,-18
